Precinct,County,Registered Voters,Jeff Fuller (I) (Rep)_Election Day Votes,Jeff Fuller (I) (Rep)_Advanced Voting Votes,Jeff Fuller (I) (Rep)_Absentee by Mail Votes,Jeff Fuller (I) (Rep)_Provisional Votes,Jeff Fuller (I) (Rep)_Choice Total,Selena Jackson Guines (Dem)_Election Day Votes,Selena Jackson Guines (Dem)_Advanced Voting Votes,Selena Jackson Guines (Dem)_Absentee by Mail Votes,Selena Jackson Guines (Dem)_Provisional Votes,Selena Jackson Guines (Dem)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,605,2742,602,4,3953,126,497,280,2,905,4858,
Crossroads Library,Paulding,3662,323,1482,420,1,2226,86,409,316,0,811,3037,
Shelton Elementary,Paulding,5095,461,1617,430,3,2511,179,772,441,0,1392,3903,
Russom Elementary,Paulding,8243,699,2789,1024,5,4517,213,1003,863,2,2081,6598,
Paulding Sr Center,Paulding,5972,499,1810,430,4,2743,206,864,511,2,1583,4326,
Legacy Bapt Church,Paulding,4443,319,1072,447,1,1839,146,596,427,4,1173,3012,
Watson Govt Cmplx,Paulding,10774,647,2683,815,8,4153,392,1604,963,3,2962,7115,
West Ridge Church,Paulding,11546,1022,3615,1184,3,5824,328,1290,931,2,2551,8375,
Events Place,Paulding,4923,228,744,292,3,1267,252,1148,750,3,2153,3420,
Poplar Sprgs Bapt Church,Paulding,4825,254,926,285,0,1465,250,996,564,1,1811,3276,
D Wright Innovation Ctr,Paulding,7137,493,2200,366,2,3061,257,1068,614,1,1940,5001,
Nebo Elem School,Paulding,10070,1070,3271,772,4,5117,293,929,665,6,1893,7010,
White Oak Park,Paulding,5833,483,1632,432,7,2554,237,750,466,2,1455,4009,
Mulberry Rock Park,Paulding,5911,697,2311,588,4,3600,117,372,244,1,734,4334,
Beulahland Baptist Church,Paulding,2547,366,887,188,3,1444,60,199,130,0,389,1833,
Paulding County Airport,Paulding,4132,533,1308,321,3,2165,118,340,237,2,697,2862,
Picketts Mill Baptist Church,Paulding,2748,301,949,272,0,1522,72,288,249,1,610,2132,
Taylor Farm Park,Paulding,2761,172,773,287,0,1232,101,404,201,0,706,1938,
Dobbins Middle School,Paulding,8081,407,2024,492,2,2925,349,1560,977,2,2888,5813,
